raw_description,vat_code,base_merchant
DD OCTOPUS ENERGY 1933 MANCHESTER REF-9912,reduced_rate,OCTOPUS ENERGY
SQ *EON NEXT 8342  PLC,reduced_rate,EON NEXT
Payment To Linkedin Premium 1444  Online,standard_rate,LINKEDIN PREMIUM
PAYMENT TO BOOTS UK 6454 BRISTOL,standard_rate,BOOTS UK
Dd Director Drawings 7584,outside_scope,DIRECTOR DRAWINGS
dd edf energy 9628 glasgow store ref-9341,reduced_rate,EDF ENERGY
CARD XERO SOFTWARE  PLC REF-9898,standard_rate,XERO SOFTWARE
sq *barclays bank 7002 birmingham ltd,exempt,BARCLAYS BANK
dd microsoft 365 1101 glasgow uk ref-5625,standard_rate,MICROSOFT 365
DD BRITISH GAS 274  DIRECT,reduced_rate,BRITISH GAS
CARD SAGE SUBSCRIPTION  DIRECT REF-8805,standard_rate,SAGE SUBSCRIPTION
iz *boots uk 7809 uk ref-4495,standard_rate,BOOTS UK
SQ *SAGE SUBSCRIPTION 8886 MANCHESTER LTD,standard_rate,SAGE SUBSCRIPTION
DD STATIONERY STATION 6804 BIRMINGHAM REF-8680,standard_rate,STATIONERY STATION
PAYMENT TO PAYROLL TRANSFER 8899 LONDON,outside_scope,PAYROLL TRANSFER
POS BARCLAYS BANK UK ONLINE,exempt,BARCLAYS BANK
CARD ALDI STORES 8051  ONLINE REF-5828,zero_rated,ALDI STORES
CARD TRAINLINE 786,zero_rated,TRAINLINE
SQ *ADOBE CREATIVE 9547 BIRMINGHAM,standard_rate,ADOBE CREATIVE
SQ *STATIONERY STATION 7883  REF-3643,standard_rate,STATIONERY STATION
PAYMENT TO AMAZON UK 2754 GLASGOW REF-5627,standard_rate,AMAZON UK
DD ASDA SUPERMARKET GLASGOW LTD,zero_rated,ASDA SUPERMARKET
iz *adobe creative 1450 uk direct ref-5082,standard_rate,ADOBE CREATIVE
Dd Quickbooks Glasgow Plc Ref-2142,standard_rate,QUICKBOOKS
Iz *Amazon Kindle London Plc Ref-5937,zero_rated,AMAZON KINDLE
iz *barclays bank 1072,exempt,BARCLAYS BANK
SQ *STATIONERY STATION 842  STORE,standard_rate,STATIONERY STATION
PAYMENT TO BRITISH GAS 7162  LTD,reduced_rate,BRITISH GAS
CARD ROYAL MAIL 4975  ONLINE,exempt,ROYAL MAIL
DD LINKEDIN PREMIUM BIRMINGHAM PLC REF-3726,standard_rate,LINKEDIN PREMIUM
DD UBER EATS LONDON DIRECT,standard_rate,UBER EATS
CARD GOOGLE WORKSPACE 936 GLASGOW UK,standard_rate,GOOGLE WORKSPACE
IZ *TESCO EXPRESS 4301  LTD REF-4505,zero_rated,TESCO EXPRESS
DD BOOTS UK 2200 GLASGOW REF-1456,standard_rate,BOOTS UK
IZ *AA BREAKDOWN 3975 LEEDS ONLINE,exempt,AA BREAKDOWN
CARD TRAINLINE MANCHESTER UK,zero_rated,TRAINLINE
CARD BARCLAYS BANK LEEDS,exempt,BARCLAYS BANK
DD EDF ENERGY 1089  LTD REF-8046,reduced_rate,EDF ENERGY
GOOGLE WORKSPACE 9210  PLC,standard_rate,GOOGLE WORKSPACE
payment to westminster council 7154 birmingham,outside_scope,WESTMINSTER COUNCIL
POS GOOGLE WORKSPACE 3201 LEEDS ONLINE,standard_rate,GOOGLE WORKSPACE
google workspace 593  store ref-2832,standard_rate,GOOGLE WORKSPACE
CARD MICROSOFT 365 2096 UK PLC,standard_rate,MICROSOFT 365
IZ *QUICKBOOKS 9660  LTD,standard_rate,QUICKBOOKS
CARD AMAZON UK 9414,standard_rate,AMAZON UK
IZ *XERO SOFTWARE 2644  DIRECT,standard_rate,XERO SOFTWARE
EON NEXT 2712 LEEDS PLC REF-7406,reduced_rate,EON NEXT
IZ *AMAZON KINDLE 2022 LEEDS LTD,zero_rated,AMAZON KINDLE
Pos Boots Uk Glasgow Online Ref-6276,standard_rate,BOOTS UK
POS ADOBE CREATIVE 9539  LTD,standard_rate,ADOBE CREATIVE
payment to uber eats birmingham online,standard_rate,UBER EATS
POS INTRA ACCOUNT TRANSFER 5779 BIRMINGHAM ONLINE,outside_scope,INTRA ACCOUNT TRANSFER
stationery station 3970  uk ref-1587,standard_rate,STATIONERY STATION
Pos Trainline Glasgow Direct Ref-1423,zero_rated,TRAINLINE
POS QUICKBOOKS,standard_rate,QUICKBOOKS
CARD AMAZON UK 4062  UK,standard_rate,AMAZON UK
DIRECTOR DRAWINGS 437,outside_scope,DIRECTOR DRAWINGS
IZ *AMAZON KINDLE UK STORE,zero_rated,AMAZON KINDLE
PAYMENT TO DELIVEROO  LTD,standard_rate,DELIVEROO
CARD BRITISH GAS 8669 GLASGOW LTD,reduced_rate,BRITISH GAS
IZ *BRITISH GAS 7314  LTD,reduced_rate,BRITISH GAS
sq *lidl gb 6262  ltd ref-1256,zero_rated,LIDL GB
sq *sainsburys 7601 glasgow direct ref-5873,zero_rated,SAINSBURYS
dd tesco stores 6094  plc,zero_rated,TESCO STORES
CARD TESCO EXPRESS BIRMINGHAM ONLINE,zero_rated,TESCO EXPRESS
IZ *BRITISH GAS 5257 MANCHESTER STORE REF-1628,reduced_rate,BRITISH GAS
amazon uk  plc ref-5248,standard_rate,AMAZON UK
pos sainsburys uk plc ref-2975,zero_rated,SAINSBURYS
Pos Post Office,exempt,POST OFFICE
IZ *LIDL GB 3538  UK,zero_rated,LIDL GB
SQ *LINKEDIN PREMIUM 4819  DIRECT,standard_rate,LINKEDIN PREMIUM
Pos Barclays Bank 6405 Manchester Direct Ref-3809,exempt,BARCLAYS BANK
HSBC BANK FEES  STORE,exempt,HSBC BANK FEES
CARD INTRA ACCOUNT TRANSFER 4534 BIRMINGHAM ONLINE,outside_scope,INTRA ACCOUNT TRANSFER
POS MICROSOFT 365 2534  ONLINE,standard_rate,MICROSOFT 365
CARD WATERSTONES 653 MANCHESTER UK REF-5146,zero_rated,WATERSTONES
Iz *Barclays Bank  Ltd,exempt,BARCLAYS BANK
DD WESTMINSTER COUNCIL 6006 MANCHESTER ONLINE,outside_scope,WESTMINSTER COUNCIL
PAYMENT TO ROYAL MAIL 2292 BIRMINGHAM UK,exempt,ROYAL MAIL
EDF ENERGY  LTD,reduced_rate,EDF ENERGY
CARD QUICKBOOKS  ONLINE,standard_rate,QUICKBOOKS
barclays bank 6747 glasgow ltd,exempt,BARCLAYS BANK
IZ *INTRA ACCOUNT TRANSFER LONDON REF-3148,outside_scope,INTRA ACCOUNT TRANSFER
IZ *STATIONERY STATION 2396  STORE,standard_rate,STATIONERY STATION
IZ *AVIVA INSURANCE 4131 MANCHESTER PLC,exempt,AVIVA INSURANCE
Payment To Google Workspace 5020 Online Uk Ref-7202,standard_rate,GOOGLE WORKSPACE
IZ *TFL TRAVEL 4697 BIRMINGHAM UK,zero_rated,TFL TRAVEL
POS POST OFFICE 2594 MANCHESTER STORE REF-3275,exempt,POST OFFICE
payment to tesco stores  online,zero_rated,TESCO STORES
CARD TESCO STORES 7006 BRISTOL,zero_rated,TESCO STORES
CARD LIDL GB LONDON,zero_rated,LIDL GB
DD LNER TICKETS 519  ONLINE,zero_rated,LNER TICKETS
SQ *BARCLAYS BANK 9032  DIRECT REF-1556,exempt,BARCLAYS BANK
DD AVIVA INSURANCE 139 UK UK REF-8960,exempt,AVIVA INSURANCE
Lidl Gb  Online Ref-3359,zero_rated,LIDL GB
CARD WESTMINSTER COUNCIL 5090 UK STORE,outside_scope,WESTMINSTER COUNCIL
DELIVEROO 8476 BIRMINGHAM LTD,standard_rate,DELIVEROO
SQ *BARCLAYS BANK 3926 LONDON ONLINE,exempt,BARCLAYS BANK
PAYMENT TO TRAINLINE LONDON LTD,zero_rated,TRAINLINE
POST OFFICE 1419  STORE REF-1984,exempt,POST OFFICE
SQ *ROYAL MAIL 8941 LONDON LTD,exempt,ROYAL MAIL
CARD HMRC SHIPLEY ONLINE REF-4374,outside_scope,HMRC SHIPLEY
POST OFFICE 1894 MANCHESTER ONLINE,exempt,POST OFFICE
XERO SOFTWARE 9596 ONLINE,standard_rate,XERO SOFTWARE
iz *payroll transfer 9677 leeds store,outside_scope,PAYROLL TRANSFER
Pos Amazon Uk  Online,standard_rate,AMAZON UK
TRAINLINE 3569  DIRECT,zero_rated,TRAINLINE
DD QUICKBOOKS 3069  UK REF-3874,standard_rate,QUICKBOOKS
Dd National Express  Ltd Ref-4513,zero_rated,NATIONAL EXPRESS
deliveroo 6818  uk,standard_rate,DELIVEROO
Amazon Kindle 1576 Online Ltd Ref-2256,zero_rated,AMAZON KINDLE
PAYMENT TO LNER TICKETS 8051 MANCHESTER STORE REF-2190,zero_rated,LNER TICKETS
Uber Eats  Store Ref-6607,standard_rate,UBER EATS
HMRC SHIPLEY 5472  STORE,outside_scope,HMRC SHIPLEY
PAYMENT TO AMAZON EU 7997 ONLINE DIRECT,standard_rate,AMAZON EU
SQ *HMRC SHIPLEY  PLC,outside_scope,HMRC SHIPLEY
DD INTRA ACCOUNT TRANSFER 6864  DIRECT REF-3713,outside_scope,INTRA ACCOUNT TRANSFER
Sq *Sainsburys London Direct,zero_rated,SAINSBURYS
DD WATERSTONES 4705  UK REF-2685,zero_rated,WATERSTONES
HSBC BANK FEES 1263  LTD,exempt,HSBC BANK FEES
IZ *XERO SOFTWARE 3519 ONLINE ONLINE,standard_rate,XERO SOFTWARE
DELIVEROO 9666,standard_rate,DELIVEROO
dd amazon eu 6811 manchester,standard_rate,AMAZON EU
DELIVEROO 7566 LEEDS DIRECT,standard_rate,DELIVEROO
CARD BOOTS UK 9808 BRISTOL REF-1841,standard_rate,BOOTS UK
DD MICROSOFT 365 BIRMINGHAM DIRECT,standard_rate,MICROSOFT 365
Dd Waterstones Online Ltd,zero_rated,WATERSTONES
POS NATIONAL EXPRESS  DIRECT,zero_rated,NATIONAL EXPRESS
IZ *UBER EATS 5117 ONLINE PLC,standard_rate,UBER EATS
CARD BARCLAYS BANK 9982 BIRMINGHAM DIRECT REF-9981,exempt,BARCLAYS BANK
Pos Post Office 7341 Online Store,exempt,POST OFFICE
DD STATIONERY STATION 2020  LTD,standard_rate,STATIONERY STATION
Pos Microsoft 365 735 Manchester Plc,standard_rate,MICROSOFT 365
IZ *BRITISH GAS 7943 BIRMINGHAM PLC REF-2258,reduced_rate,BRITISH GAS
PAYROLL TRANSFER 5194  UK REF-4211,outside_scope,PAYROLL TRANSFER
Sq *Adobe Creative  Online Ref-3719,standard_rate,ADOBE CREATIVE
SQ *OCTOPUS ENERGY 4544  ONLINE REF-9413,reduced_rate,OCTOPUS ENERGY
PAYMENT TO PAYROLL TRANSFER 5501  STORE,outside_scope,PAYROLL TRANSFER
SQ *HSBC BANK FEES 9884 LONDON UK REF-4400,exempt,HSBC BANK FEES
SQ *HSBC BANK FEES 2679  STORE REF-6536,exempt,HSBC BANK FEES
CARD INTRA ACCOUNT TRANSFER 4843 GLASGOW UK,outside_scope,INTRA ACCOUNT TRANSFER
CARD HMRC SHIPLEY 4998 LONDON,outside_scope,HMRC SHIPLEY
Payment To Director Drawings  Uk,outside_scope,DIRECTOR DRAWINGS
IZ *TESCO STORES 1239 GLASGOW STORE,zero_rated,TESCO STORES
Lner Tickets 157 Online Ltd,zero_rated,LNER TICKETS
Sq *Aldi Stores 7097 Glasgow Direct Ref-3733,zero_rated,ALDI STORES
POS EDF ENERGY 791 LEEDS LTD,reduced_rate,EDF ENERGY
PAYMENT TO HMRC SHIPLEY BIRMINGHAM STORE,outside_scope,HMRC SHIPLEY
Iz *Aviva Insurance Online Uk,exempt,AVIVA INSURANCE
XERO SOFTWARE 1788  UK,standard_rate,XERO SOFTWARE
card payroll transfer 6135 manchester,outside_scope,PAYROLL TRANSFER
payment to adobe creative glasgow ltd,standard_rate,ADOBE CREATIVE
POS TFL TRAVEL 4438  REF-4201,zero_rated,TFL TRAVEL
Card Quickbooks Leeds Store,standard_rate,QUICKBOOKS
POS AVIVA INSURANCE 5252 BRISTOL DIRECT,exempt,AVIVA INSURANCE
AMAZON EU  LTD,standard_rate,AMAZON EU
IZ *ADOBE CREATIVE 6780  STORE,standard_rate,ADOBE CREATIVE
TRAINLINE 7143,zero_rated,TRAINLINE
DD WATERSTONES 2958 ONLINE UK REF-6764,zero_rated,WATERSTONES
Sq *Hmrc Shipley 8882 Online Direct Ref-7882,outside_scope,HMRC SHIPLEY
edf energy 8205  ltd,reduced_rate,EDF ENERGY
PAYMENT TO HMRC PAYMENTS 119 BIRMINGHAM UK REF-4095,outside_scope,HMRC PAYMENTS
POS OCTOPUS ENERGY LONDON UK,reduced_rate,OCTOPUS ENERGY
SQ *DIRECTOR DRAWINGS 2947 MANCHESTER UK,outside_scope,DIRECTOR DRAWINGS
POS HMRC PAYMENTS 4271  LTD,outside_scope,HMRC PAYMENTS
PAYMENT TO TFL TRAVEL 1558 BRISTOL STORE,zero_rated,TFL TRAVEL
LNER TICKETS 5523  PLC REF-6006,zero_rated,LNER TICKETS
IZ *STATIONERY STATION  LTD REF-1592,standard_rate,STATIONERY STATION
Payment To Amazon Eu 5229 Glasgow Online Ref-8025,standard_rate,AMAZON EU
POS WATERSTONES 1853  LTD,zero_rated,WATERSTONES
SAGE SUBSCRIPTION 5799 ONLINE LTD REF-1484,standard_rate,SAGE SUBSCRIPTION
aviva insurance 4236  ltd,exempt,AVIVA INSURANCE
CARD HMRC SHIPLEY 8179 UK UK,outside_scope,HMRC SHIPLEY
IZ *WESTMINSTER COUNCIL 2663 LONDON UK REF-7119,outside_scope,WESTMINSTER COUNCIL
CARD TESCO EXPRESS 1039 BRISTOL STORE,zero_rated,TESCO EXPRESS
UBER EATS 1093 LEEDS DIRECT REF-3912,standard_rate,UBER EATS
tesco stores 3978 birmingham direct ref-3900,zero_rated,TESCO STORES
payment to asda supermarket 1443  store ref-3293,zero_rated,ASDA SUPERMARKET
Amazon Kindle 9680 Manchester,zero_rated,AMAZON KINDLE
payment to payroll transfer 7635  uk,outside_scope,PAYROLL TRANSFER
dd stationery station  ref-5679,standard_rate,STATIONERY STATION
IZ *AA BREAKDOWN MANCHESTER,exempt,AA BREAKDOWN
SQ *NATIONAL EXPRESS BIRMINGHAM ONLINE,zero_rated,NATIONAL EXPRESS
CARD GOOGLE WORKSPACE  ONLINE REF-4609,standard_rate,GOOGLE WORKSPACE
SQ *TESCO EXPRESS BRISTOL UK REF-4920,zero_rated,TESCO EXPRESS
payment to amazon eu 791  uk,standard_rate,AMAZON EU
Dd National Express 2065  Ltd Ref-9393,zero_rated,NATIONAL EXPRESS
Pos Director Drawings 249  Online Ref-1354,outside_scope,DIRECTOR DRAWINGS
IZ *EDF ENERGY 5388 BIRMINGHAM STORE REF-3030,reduced_rate,EDF ENERGY
DD SAINSBURYS  DIRECT REF-7745,zero_rated,SAINSBURYS
PAYMENT TO EON NEXT 5709  DIRECT,reduced_rate,EON NEXT
BRITISH GAS 6418  PLC,reduced_rate,BRITISH GAS
iz *linkedin premium  online,standard_rate,LINKEDIN PREMIUM
royal mail  plc,exempt,ROYAL MAIL
BARCLAYS BANK 1495 BIRMINGHAM UK,exempt,BARCLAYS BANK
IZ *WESTMINSTER COUNCIL 3028  LTD,outside_scope,WESTMINSTER COUNCIL
payment to british gas 1681  store,reduced_rate,BRITISH GAS
ROYAL MAIL 468 BIRMINGHAM DIRECT,exempt,ROYAL MAIL
CARD LINKEDIN PREMIUM 2200  DIRECT,standard_rate,LINKEDIN PREMIUM
POS TESCO EXPRESS 4872 LEEDS ONLINE,zero_rated,TESCO EXPRESS
Amazon Uk 4717 Leeds Store,standard_rate,AMAZON UK
CARD AMAZON KINDLE 2617 LEEDS UK,zero_rated,AMAZON KINDLE
SQ *HMRC SHIPLEY 3130  DIRECT REF-4869,outside_scope,HMRC SHIPLEY
Payment To Westminster Council 940  Store,outside_scope,WESTMINSTER COUNCIL
SQ *EDF ENERGY 885 BIRMINGHAM ONLINE,reduced_rate,EDF ENERGY
POS LNER TICKETS BIRMINGHAM ONLINE,zero_rated,LNER TICKETS
DD AA BREAKDOWN 9058 GLASGOW PLC,exempt,AA BREAKDOWN
CARD LINKEDIN PREMIUM 9933 LEEDS,standard_rate,LINKEDIN PREMIUM
payment to amazon uk 4286  direct,standard_rate,AMAZON UK
IZ *EON NEXT 4216  STORE REF-2361,reduced_rate,EON NEXT
DD OCTOPUS ENERGY  ONLINE,reduced_rate,OCTOPUS ENERGY
DD ROYAL MAIL UK STORE REF-3430,exempt,ROYAL MAIL
CARD SAINSBURYS  DIRECT,zero_rated,SAINSBURYS
DD AVIVA INSURANCE  UK REF-1460,exempt,AVIVA INSURANCE
PAYMENT TO GOOGLE WORKSPACE 1929  UK REF-8825,standard_rate,GOOGLE WORKSPACE
DD ADOBE CREATIVE BRISTOL PLC,standard_rate,ADOBE CREATIVE
CARD LNER TICKETS 4269  LTD,zero_rated,LNER TICKETS
Sq *Eon Next 1920  Plc,reduced_rate,EON NEXT
SQ *MICROSOFT 365 6852 MANCHESTER LTD,standard_rate,MICROSOFT 365
xero software 8379  uk ref-7346,standard_rate,XERO SOFTWARE
iz *linkedin premium 1435  uk,standard_rate,LINKEDIN PREMIUM
DD BOOTS UK 5090 BIRMINGHAM UK REF-7241,standard_rate,BOOTS UK
iz *intra account transfer 650 birmingham ltd ref-7415,outside_scope,INTRA ACCOUNT TRANSFER
SQ *BARCLAYS BANK 3510 BRISTOL REF-5023,exempt,BARCLAYS BANK
CARD ADOBE CREATIVE 8019 ONLINE LTD REF-1453,standard_rate,ADOBE CREATIVE
POS STATIONERY STATION 5587  LTD REF-2754,standard_rate,STATIONERY STATION
PAYMENT TO EON NEXT 9902  PLC,reduced_rate,EON NEXT
PAYMENT TO PAYROLL TRANSFER 6134 LONDON PLC REF-4170,outside_scope,PAYROLL TRANSFER
pos lner tickets uk plc ref-3574,zero_rated,LNER TICKETS
Payment To Waterstones 9883,zero_rated,WATERSTONES
IZ *TESCO EXPRESS BRISTOL ONLINE,zero_rated,TESCO EXPRESS
SQ *LIDL GB 8987  LTD,zero_rated,LIDL GB
DD HMRC SHIPLEY BIRMINGHAM REF-9827,outside_scope,HMRC SHIPLEY
POS BARCLAYS BANK 2928 BIRMINGHAM,exempt,BARCLAYS BANK
DD WESTMINSTER COUNCIL 9874,outside_scope,WESTMINSTER COUNCIL
iz *aa breakdown 3331  ltd,exempt,AA BREAKDOWN
Octopus Energy  Uk,reduced_rate,OCTOPUS ENERGY
INTRA ACCOUNT TRANSFER 7596 UK UK,outside_scope,INTRA ACCOUNT TRANSFER
CARD BOOTS UK 4802 GLASGOW DIRECT REF-4175,standard_rate,BOOTS UK
CARD OCTOPUS ENERGY 7396  UK REF-2465,reduced_rate,OCTOPUS ENERGY
SQ *UBER EATS 9256 UK DIRECT,standard_rate,UBER EATS
SQ *HMRC SHIPLEY 7331  DIRECT,outside_scope,HMRC SHIPLEY
SQ *TESCO STORES UK LTD REF-6038,zero_rated,TESCO STORES
Iz *Tesco Stores  Ltd,zero_rated,TESCO STORES
IZ *TRAINLINE 2678 GLASGOW STORE REF-9730,zero_rated,TRAINLINE
IZ *WATERSTONES 8867  LTD REF-8616,zero_rated,WATERSTONES
sq *hmrc shipley 7175 uk plc,outside_scope,HMRC SHIPLEY
Pos Stationery Station 8427 Bristol Online Ref-1618,standard_rate,STATIONERY STATION
PAYMENT TO ROYAL MAIL 1755 GLASGOW LTD REF-3015,exempt,ROYAL MAIL
IZ *SAGE SUBSCRIPTION 4594  UK,standard_rate,SAGE SUBSCRIPTION
PAYMENT TO SAINSBURYS 7267 MANCHESTER STORE REF-4909,zero_rated,SAINSBURYS
CARD HMRC SHIPLEY 2297 LONDON STORE REF-8317,outside_scope,HMRC SHIPLEY
Xero Software 7145  Direct,standard_rate,XERO SOFTWARE
SQ *INTRA ACCOUNT TRANSFER 9793  UK REF-4246,outside_scope,INTRA ACCOUNT TRANSFER
EDF ENERGY 8596 LEEDS DIRECT,reduced_rate,EDF ENERGY
PAYMENT TO LINKEDIN PREMIUM 2304 GLASGOW UK,standard_rate,LINKEDIN PREMIUM
IZ *HMRC PAYMENTS,outside_scope,HMRC PAYMENTS
LIDL GB 7334  DIRECT REF-2692,zero_rated,LIDL GB
SQ *BRITISH GAS  PLC,reduced_rate,BRITISH GAS
PAYMENT TO MICROSOFT 365 1117 LEEDS PLC REF-8624,standard_rate,MICROSOFT 365
EDF ENERGY 5873  UK REF-5074,reduced_rate,EDF ENERGY
IZ *NATIONAL EXPRESS  UK REF-6997,zero_rated,NATIONAL EXPRESS
Card Aviva Insurance 6884 Birmingham Online Ref-5682,exempt,AVIVA INSURANCE
sq *director drawings 3479 glasgow uk ref-6460,outside_scope,DIRECTOR DRAWINGS
Google Workspace 2002 Online Online,standard_rate,GOOGLE WORKSPACE
HMRC SHIPLEY  ONLINE REF-8772,outside_scope,HMRC SHIPLEY
AVIVA INSURANCE GLASGOW REF-4510,exempt,AVIVA INSURANCE
IZ *WESTMINSTER COUNCIL 7206 LONDON LTD,outside_scope,WESTMINSTER COUNCIL
IZ *ADOBE CREATIVE 4948 ONLINE UK REF-9246,standard_rate,ADOBE CREATIVE
QUICKBOOKS 7624 BRISTOL ONLINE REF-5875,standard_rate,QUICKBOOKS
IZ *DELIVEROO,standard_rate,DELIVEROO
Payment To Intra Account Transfer 1427  Online Ref-9707,outside_scope,INTRA ACCOUNT TRANSFER
Microsoft 365 2728 Leeds Uk Ref-3146,standard_rate,MICROSOFT 365
DD HMRC PAYMENTS 7825  LTD REF-1871,outside_scope,HMRC PAYMENTS
SQ *ASDA SUPERMARKET 3254 BRISTOL DIRECT,zero_rated,ASDA SUPERMARKET
Amazon Eu Manchester Plc Ref-3750,standard_rate,AMAZON EU
Dd Amazon Kindle  Uk,zero_rated,AMAZON KINDLE
Sq *Aviva Insurance 7412 Online Online Ref-8500,exempt,AVIVA INSURANCE
dd amazon kindle 2288  ref-1976,zero_rated,AMAZON KINDLE
Payment To Xero Software 8523 Online Store,standard_rate,XERO SOFTWARE
DD XERO SOFTWARE BIRMINGHAM ONLINE REF-9009,standard_rate,XERO SOFTWARE
SQ *ALDI STORES BRISTOL PLC REF-2823,zero_rated,ALDI STORES
Iz *Royal Mail  Direct,exempt,ROYAL MAIL
IZ *HMRC PAYMENTS  DIRECT REF-4278,outside_scope,HMRC PAYMENTS
iz *edf energy 6488 glasgow ref-7091,reduced_rate,EDF ENERGY
DD HMRC SHIPLEY MANCHESTER LTD,outside_scope,HMRC SHIPLEY
PAYMENT TO GOOGLE WORKSPACE  STORE REF-1447,standard_rate,GOOGLE WORKSPACE
PAYMENT TO WATERSTONES 4971  STORE,zero_rated,WATERSTONES
IZ *UBER EATS 5404 GLASGOW,standard_rate,UBER EATS
pos hsbc bank fees 3816 manchester online ref-6287,exempt,HSBC BANK FEES
CARD DIRECTOR DRAWINGS 2281 UK UK,outside_scope,DIRECTOR DRAWINGS
DD LIDL GB MANCHESTER UK,zero_rated,LIDL GB
PAYMENT TO WESTMINSTER COUNCIL 4663  ONLINE REF-2038,outside_scope,WESTMINSTER COUNCIL
DD BRITISH GAS 7056 BRISTOL DIRECT,reduced_rate,BRITISH GAS
IZ *TRAINLINE 4176 MANCHESTER PLC,zero_rated,TRAINLINE
PAYMENT TO GOOGLE WORKSPACE 1805,standard_rate,GOOGLE WORKSPACE
QUICKBOOKS  STORE,standard_rate,QUICKBOOKS
dd waterstones 1028 bristol,zero_rated,WATERSTONES
CARD HSBC BANK FEES,exempt,HSBC BANK FEES
IZ *ALDI STORES 1594,zero_rated,ALDI STORES
DD MICROSOFT 365 5784  REF-7033,standard_rate,MICROSOFT 365
POS QUICKBOOKS 4378 LEEDS ONLINE,standard_rate,QUICKBOOKS
Card Tfl Travel 3665 Manchester Plc Ref-9668,zero_rated,TFL TRAVEL
CARD EDF ENERGY 6244 BIRMINGHAM STORE,reduced_rate,EDF ENERGY
SQ *LINKEDIN PREMIUM 4474  UK,standard_rate,LINKEDIN PREMIUM
DD AMAZON EU  REF-3248,standard_rate,AMAZON EU
INTRA ACCOUNT TRANSFER 4243 ONLINE PLC,outside_scope,INTRA ACCOUNT TRANSFER
AA BREAKDOWN 6393 ONLINE REF-5844,exempt,AA BREAKDOWN
card national express 6571 uk online ref-9670,zero_rated,NATIONAL EXPRESS
PAYMENT TO AMAZON EU 7047 LONDON ONLINE REF-4970,standard_rate,AMAZON EU
SQ *OCTOPUS ENERGY 606 MANCHESTER UK,reduced_rate,OCTOPUS ENERGY
POS TESCO EXPRESS 8724 GLASGOW UK,zero_rated,TESCO EXPRESS
POS BRITISH GAS BRISTOL UK,reduced_rate,BRITISH GAS
SQ *DIRECTOR DRAWINGS MANCHESTER LTD REF-8155,outside_scope,DIRECTOR DRAWINGS
Dd Asda Supermarket 9370  Direct Ref-3395,zero_rated,ASDA SUPERMARKET
TRAINLINE GLASGOW LTD,zero_rated,TRAINLINE
POS WATERSTONES ONLINE LTD,zero_rated,WATERSTONES
PAYMENT TO LIDL GB 9515 BRISTOL DIRECT,zero_rated,LIDL GB
Card Linkedin Premium 2827  Uk Ref-4701,standard_rate,LINKEDIN PREMIUM
IZ *NATIONAL EXPRESS 7292 LEEDS PLC REF-7792,zero_rated,NATIONAL EXPRESS
POS STATIONERY STATION 5660,standard_rate,STATIONERY STATION
pos edf energy 2005 leeds ltd ref-1077,reduced_rate,EDF ENERGY
PAYMENT TO TESCO STORES 9055 UK UK,zero_rated,TESCO STORES
Card Tesco Express 6028 Uk Plc,zero_rated,TESCO EXPRESS
iz *aa breakdown leeds plc,exempt,AA BREAKDOWN
ADOBE CREATIVE 2086  REF-7427,standard_rate,ADOBE CREATIVE
iz *quickbooks manchester direct,standard_rate,QUICKBOOKS
CARD TFL TRAVEL 3774 MANCHESTER DIRECT,zero_rated,TFL TRAVEL
SQ *LINKEDIN PREMIUM 8862  PLC REF-3602,standard_rate,LINKEDIN PREMIUM
IZ *XERO SOFTWARE GLASGOW DIRECT,standard_rate,XERO SOFTWARE
payment to tfl travel glasgow online ref-4407,zero_rated,TFL TRAVEL
LINKEDIN PREMIUM 3203  LTD,standard_rate,LINKEDIN PREMIUM
OCTOPUS ENERGY 2610 LEEDS PLC REF-9883,reduced_rate,OCTOPUS ENERGY
Dd Aldi Stores 5393  Direct,zero_rated,ALDI STORES
CARD EDF ENERGY  STORE,reduced_rate,EDF ENERGY
POS HMRC SHIPLEY  LTD,outside_scope,HMRC SHIPLEY
CARD TFL TRAVEL 9742  PLC REF-5353,zero_rated,TFL TRAVEL
CARD TRAINLINE LEEDS LTD,zero_rated,TRAINLINE
Sq *Uber Eats  Direct,standard_rate,UBER EATS
NATIONAL EXPRESS 4624 MANCHESTER DIRECT REF-2474,zero_rated,NATIONAL EXPRESS
payment to waterstones glasgow store ref-9174,zero_rated,WATERSTONES
IZ *SAINSBURYS 1233 BRISTOL PLC REF-7703,zero_rated,SAINSBURYS
IZ *LINKEDIN PREMIUM 2273 GLASGOW,standard_rate,LINKEDIN PREMIUM
Dd Lner Tickets 7399  Store Ref-5533,zero_rated,LNER TICKETS
DD ALDI STORES 5399 BIRMINGHAM,zero_rated,ALDI STORES
DD DIRECTOR DRAWINGS  DIRECT REF-9152,outside_scope,DIRECTOR DRAWINGS
sq *amazon uk 6176  store,standard_rate,AMAZON UK
PAYMENT TO PAYROLL TRANSFER 1823  STORE,outside_scope,PAYROLL TRANSFER
sq *microsoft 365 2661 birmingham store ref-9726,standard_rate,MICROSOFT 365
EDF ENERGY 1067 GLASGOW UK,reduced_rate,EDF ENERGY
payment to google workspace 7487  ltd,standard_rate,GOOGLE WORKSPACE
DELIVEROO 7012  UK,standard_rate,DELIVEROO
pos amazon kindle 6147  online,zero_rated,AMAZON KINDLE
PAYMENT TO UBER EATS 3686,standard_rate,UBER EATS
